infecció;proteïna;pandèmia;resultat;virus;COVID-19; 
MERS;tractament;resultat;virus;COVID-19;
patògen;malaltia;infecció;ARN;
epidèmia;tractament;MERS;atenció primària;
atenció primària;ARN;estudi;pulmó;oxigen;tractament;
oxigen;infecció;COVID-19;grip;cèl·lula;virus;pandèmia; 
infecció;vacuna;malaltia;gen;virus;
COVID-19;ARN;estudi;virus;pandèmia;
ARN;pneumònia;cas;epidèmia;tractament;vacuna;
ARN;vacuna;atenció primària;estudi;pandèmia,COVID−19;
proteïna;pandèmia,COVID−19;tractament;infecció;MERS;
cèl·lula;pandèmia;hospital;virus;COVID-19;
virus;pneumònia;pandèmia;gen;estudi;
pulmó,pandèmia;COVID−19;ARN;malaltia;gen;
